State/UT,DropoutRate,Year,Level,Gender,StartYear
Delhi,6.0,2003-2004,Elementary,Girls,2003
Goa,1.3,2003-2004,Elementary,Girls,2003
Gujarat,6.6,2003-2004,Elementary,Girls,2003
Haryana,2.4,2003-2004,Elementary,Girls,2003
Himachal Pradesh,7.8,2003-2004,Elementary,Girls,2003
Jammu and Kashmir,3.3,2003-2004,Elementary,Girls,2003
Jharkhand,4.1,2003-2004,Elementary,Girls,2003
Karnataka,1.5,2003-2004,Elementary,Girls,2003
Kerala,0.2,2003-2004,Elementary,Girls,2003
Ladakh,1.6,2003-2004,Elementary,Girls,2003
Lakshadweep,5.2,2003-2004,Elementary,Girls,2003
Madhya Pradesh,5.2,2003-2004,Elementary,Girls,2003
Maharashtra,1.0,2003-2004,Elementary,Girls,2003
Manipur,3.8,2003-2004,Elementary,Girls,2003
Meghalaya,1.6,2003-2004,Elementary,Girls,2003
Mizoram,0.3,2003-2004,Elementary,Girls,2003
Nagaland,0.7,2003-2004,Elementary,Girls,2003
Odisha,2.3,2003-2004,Elementary,Girls,2003
Puducherry,7.1,2003-2004,Elementary,Girls,2003
Punjab,6.1,2003-2004,Elementary,Girls,2003
Rajasthan,1.1,2003-2004,Elementary,Girls,2003
Sikkim,5.3,2003-2004,Elementary,Girls,2003
Tamil Nadu,5.0,2003-2004,Elementary,Girls,2003
Telangana,1.8,2003-2004,Elementary,Girls,2003
Tripura,3.8,2003-2004,Elementary,Girls,2003
Uttar Pradesh,3.9,2003-2004,Elementary,Girls,2003
Uttarakhand,7.6,2003-2004,Elementary,Girls,2003
West Bengal,3.8,2003-2004,Elementary,Girls,2003
All India,4.7,2003-2004,Elementary,Girls,2003
Andaman and Nicobar Islands,24.8,2003-2004,Secondary,Boys,2003
Andhra Pradesh,11.3,2003-2004,Secondary,Boys,2003
Arunachal Pradesh,16.3,2003-2004,Secondary,Boys,2003
Assam,19.6,2003-2004,Secondary,Boys,2003
Bihar,23.0,2003-2004,Secondary,Boys,2003
Chandigarh,20.1,2003-2004,Secondary,Boys,2003
Chhattisgarh,22.0,2003-2004,Secondary,Boys,2003
Dadra and Nagar Haveli,21.0,2003-2004,Secondary,Boys,2003
Daman and Diu,20.0,2003-2004,Secondary,Boys,2003
Delhi,17.4,2003-2004,Secondary,Boys,2003
Goa,13.9,2003-2004,Secondary,Boys,2003
Gujarat,13.6,2003-2004,Secondary,Boys,2003
Haryana,19.5,2003-2004,Secondary,Boys,2003
Himachal Pradesh,10.3,2003-2004,Secondary,Boys,2003
Jammu and Kashmir,14.5,2003-2004,Secondary,Boys,2003
Jharkhand,16.6,2003-2004,Secondary,Boys,2003
Karnataka,15.9,2003-2004,Secondary,Boys,2003
Kerala,10.1,2003-2004,Secondary,Boys,2003
Ladakh,19.7,2003-2004,Secondary,Boys,2003
Lakshadweep,15.4,2003-2004,Secondary,Boys,2003
Madhya Pradesh,21.1,2003-2004,Secondary,Boys,2003
Maharashtra,11.2,2003-2004,Secondary,Boys,2003
Manipur,21.5,2003-2004,Secondary,Boys,2003
Meghalaya,20.6,2003-2004,Secondary,Boys,2003
Mizoram,11.2,2003-2004,Secondary,Boys,2003
Nagaland,21.6,2003-2004,Secondary,Boys,2003
Odisha,23.1,2003-2004,Secondary,Boys,2003
Puducherry,10.5,2003-2004,Secondary,Boys,2003
Punjab,23.5,2003-2004,Secondary,Boys,2003
Rajasthan,16.5,2003-2004,Secondary,Boys,2003
Sikkim,25.1,2003-2004,Secondary,Boys,2003
Tamil Nadu,19.7,2003-2004,Secondary,Boys,2003
Telangana,9.1,2003-2004,Secondary,Boys,2003
Tripura,12.7,2003-2004,Secondary,Boys,2003
Uttar Pradesh,14.3,2003-2004,Secondary,Boys,2003
Uttarakhand,11.7,2003-2004,Secondary,Boys,2003
West Bengal,18.9,2003-2004,Secondary,Boys,2003
All India,19.9,2003-2004,Secondary,Boys,2003
Andaman and Nicobar Islands,25.5,2003-2004,Secondary,Girls,2003
Andhra Pradesh,18.9,2003-2004,Secondary,Girls,2003
Arunachal Pradesh,10.9,2003-2004,Secondary,Girls,2003
Assam,13.9,2003-2004,Secondary,Girls,2003
Bihar,18.8,2003-2004,Secondary,Girls,2003
Chandigarh,10.3,2003-2004,Secondary,Girls,2003
Chhattisgarh,18.7,2003-2004,Secondary,Girls,2003
Dadra and Nagar Haveli,11.0,2003-2004,Secondary,Girls,2003
Daman and Diu,14.8,2003-2004,Secondary,Girls,2003
Delhi,10.1,2003-2004,Secondary,Girls,2003
Goa,21.4,2003-2004,Secondary,Girls,2003
Gujarat,17.3,2003-2004,Secondary,Girls,2003
Haryana,19.1,2003-2004,Secondary,Girls,2003
Himachal Pradesh,25.3,2003-2004,Secondary,Girls,2003
Jammu and Kashmir,26.0,2003-2004,Secondary,Girls,2003
Jharkhand,19.3,2003-2004,Secondary,Girls,2003
Karnataka,12.9,2003-2004,Secondary,Girls,2003
Kerala,11.5,2003-2004,Secondary,Girls,2003
Ladakh,11.2,2003-2004,Secondary,Girls,2003
Lakshadweep,15.3,2003-2004,Secondary,Girls,2003
Madhya Pradesh,21.0,2003-2004,Secondary,Girls,2003
Maharashtra,21.1,2003-2004,Secondary,Girls,2003
Manipur,24.5,2003-2004,Secondary,Girls,2003
Meghalaya,17.3,2003-2004,Secondary,Girls,2003
Mizoram,16.7,2003-2004,Secondary,Girls,2003
Nagaland,14.9,2003-2004,Secondary,Girls,2003
Odisha,15.0,2003-2004,Secondary,Girls,2003
Puducherry,14.8,2003-2004,Secondary,Girls,2003
Punjab,10.8,2003-2004,Secondary,Girls,2003
Rajasthan,20.4,2003-2004,Secondary,Girls,2003
Sikkim,19.1,2003-2004,Secondary,Girls,2003
Tamil Nadu,21.7,2003-2004,Secondary,Girls,2003
Telangana,18.7,2003-2004,Secondary,Girls,2003
Tripura,14.1,2003-2004,Secondary,Girls,2003
Uttar Pradesh,11.4,2003-2004,Secondary,Girls,2003
Uttarakhand,17.9,2003-2004,Secondary,Girls,2003
West Bengal,21.2,2003-2004,Secondary,Girls,2003
All India,19.0,2003-2004,Secondary,Girls,2003
Andaman and Nicobar Islands,6.4,2004-2005,Elementary,Boys,2004
Andhra Pradesh,5.1,2004-2005,Elementary,Boys,2004
Arunachal Pradesh,1.3,2004-2005,Elementary,Boys,2004
Assam,0.8,2004-2005,Elementary,Boys,2004
Bihar,6.2,2004-2005,Elementary,Boys,2004
Chandigarh,7.8,2004-2005,Elementary,Boys,2004
Chhattisgarh,3.6,2004-2005,Elementary,Boys,2004
Dadra and Nagar Haveli,3.7,2004-2005,Elementary,Boys,2004
Daman and Diu,0.9,2004-2005,Elementary,Boys,2004
Delhi,1.9,2004-2005,Elementary,Boys,2004
Goa,0.0,2004-2005,Elementary,Boys,2004
Gujarat,2.9,2004-2005,Elementary,Boys,2004
Haryana,7.1,2004-2005,Elementary,Boys,2004
Himachal Pradesh,7.4,2004-2005,Elementary,Boys,2004
Jammu and Kashmir,1.3,2004-2005,Elementary,Boys,2004
Jharkhand,3.1,2004-2005,Elementary,Boys,2004
Karnataka,7.3,2004-2005,Elementary,Boys,2004
Kerala,1.2,2004-2005,Elementary,Boys,2004
Ladakh,4.5,2004-2005,Elementary,Boys,2004
Lakshadweep,2.1,2004-2005,Elementary,Boys,2004
Madhya Pradesh,6.8,2004-2005,Elementary,Boys,2004
Maharashtra,0.9,2004-2005,Elementary,Boys,2004
Manipur,1.2,2004-2005,Elementary,Boys,2004
Meghalaya,6.6,2004-2005,Elementary,Boys,2004
Mizoram,3.2,2004-2005,Elementary,Boys,2004
Nagaland,5.6,2004-2005,Elementary,Boys,2004
Odisha,3.7,2004-2005,Elementary,Boys,2004
Puducherry,3.7,2004-2005,Elementary,Boys,2004
Punjab,6.5,2004-2005,Elementary,Boys,2004
Rajasthan,6.2,2004-2005,Elementary,Boys,2004
Sikkim,2.3,2004-2005,Elementary,Boys,2004
Tamil Nadu,6.8,2004-2005,Elementary,Boys,2004
Telangana,5.7,2004-2005,Elementary,Boys,2004
Tripura,4.9,2004-2005,Elementary,Boys,2004
Uttar Pradesh,7.5,2004-2005,Elementary,Boys,2004
Uttarakhand,1.8,2004-2005,Elementary,Boys,2004
West Bengal,2.1,2004-2005,Elementary,Boys,2004
All India,4.2,2004-2005,Elementary,Boys,2004
Andaman and Nicobar Islands,2.3,2004-2005,Elementary,Girls,2004
Andhra Pradesh,6.3,2004-2005,Elementary,Girls,2004
Arunachal Pradesh,1.5,2004-2005,Elementary,Girls,2004
Assam,6.7,2004-2005,Elementary,Girls,2004
Bihar,8.2,2004-2005,Elementary,Girls,2004
Chandigarh,4.5,2004-2005,Elementary,Girls,2004
Chhattisgarh,1.1,2004-2005,Elementary,Girls,2004
Dadra and Nagar Haveli,3.8,2004-2005,Elementary,Girls,2004
Daman and Diu,0.6,2004-2005,Elementary,Girls,2004
Delhi,2.8,2004-2005,Elementary,Girls,2004
Goa,7.6,2004-2005,Elementary,Girls,2004
Gujarat,2.5,2004-2005,Elementary,Girls,2004
Haryana,6.9,2004-2005,Elementary,Girls,2004
Himachal Pradesh,2.0,2004-2005,Elementary,Girls,2004
Jammu and Kashmir,7.4,2004-2005,Elementary,Girls,2004
Jharkhand,3.0,2004-2005,Elementary,Girls,2004
Karnataka,3.8,2004-2005,Elementary,Girls,2004
Kerala,1.0,2004-2005,Elementary,Girls,2004
Ladakh,1.0,2004-2005,Elementary,Girls,2004
Lakshadweep,6.8,2004-2005,Elementary,Girls,2004
Madhya Pradesh,3.8,2004-2005,Elementary,Girls,2004
Maharashtra,4.2,2004-2005,Elementary,Girls,2004
Manipur,1.9,2004-2005,Elementary,Girls,2004
Meghalaya,4.6,2004-2005,Elementary,Girls,2004
Mizoram,2.2,2004-2005,Elementary,Girls,2004
Nagaland,4.2,2004-2005,Elementary,Girls,2004
Odisha,3.0,2004-2005,Elementary,Girls,2004
Puducherry,2.3,2004-2005,Elementary,Girls,2004
Punjab,2.7,2004-2005,Elementary,Girls,2004
Rajasthan,7.9,2004-2005,Elementary,Girls,2004
Sikkim,5.0,2004-2005,Elementary,Girls,2004
Tamil Nadu,3.9,2004-2005,Elementary,Girls,2004
Telangana,8.1,2004-2005,Elementary,Girls,2004
Tripura,0.0,2004-2005,Elementary,Girls,2004
Uttar Pradesh,5.1,2004-2005,Elementary,Girls,2004
Uttarakhand,7.6,2004-2005,Elementary,Girls,2004
West Bengal,1.0,2004-2005,Elementary,Girls,2004
All India,2.7,2004-2005,Elementary,Girls,2004
Andaman and Nicobar Islands,13.4,2004-2005,Secondary,Boys,2004
Andhra Pradesh,11.2,2004-2005,Secondary,Boys,2004
Arunachal Pradesh,19.3,2004-2005,Secondary,Boys,2004
Assam,13.2,2004-2005,Secondary,Boys,2004
Bihar,23.0,2004-2005,Secondary,Boys,2004
Chandigarh,16.7,2004-2005,Secondary,Boys,2004
Chhattisgarh,15.6,2004-2005,Secondary,Boys,2004
Dadra and Nagar Haveli,17.9,2004-2005,Secondary,Boys,2004
Daman and Diu,18.6,2004-2005,Secondary,Boys,2004
Delhi,14.6,2004-2005,Secondary,Boys,2004
Goa,14.8,2004-2005,Secondary,Boys,2004
Gujarat,14.7,2004-2005,Secondary,Boys,2004
Haryana,15.4,2004-2005,Secondary,Boys,2004
Himachal Pradesh,15.8,2004-2005,Secondary,Boys,2004
Jammu and Kashmir,17.4,2004-2005,Secondary,Boys,2004
Jharkhand,10.7,2004-2005,Secondary,Boys,2004
Karnataka,14.7,2004-2005,Secondary,Boys,2004
Kerala,12.4,2004-2005,Secondary,Boys,2004
Ladakh,22.3,2004-2005,Secondary,Boys,2004
Lakshadweep,14.5,2004-2005,Secondary,Boys,2004
Madhya Pradesh,24.0,2004-2005,Secondary,Boys,2004
Maharashtra,16.1,2004-2005,Secondary,Boys,2004
Manipur,21.1,2004-2005,Secondary,Boys,2004
Meghalaya,12.0,2004-2005,Secondary,Boys,2004
Mizoram,21.6,2004-2005,Secondary,Boys,2004
Nagaland,15.8,2004-2005,Secondary,Boys,2004
Odisha,17.8,2004-2005,Secondary,Boys,2004
Puducherry,19.7,2004-2005,Secondary,Boys,2004
Punjab,13.1,2004-2005,Secondary,Boys,2004
Rajasthan,21.6,2004-2005,Secondary,Boys,2004
Sikkim,16.5,2004-2005,Secondary,Boys,2004
Tamil Nadu,17.7,2004-2005,Secondary,Boys,2004
Telangana,18.5,2004-2005,Secondary,Boys,2004
Tripura,14.7,2004-2005,Secondary,Boys,2004
Uttar Pradesh,12.0,2004-2005,Secondary,Boys,2004
Uttarakhand,18.1,2004-2005,Secondary,Boys,2004
West Bengal,20.0,2004-2005,Secondary,Boys,2004
All India,20.0,2004-2005,Secondary,Boys,2004
Andaman and Nicobar Islands,15.4,2004-2005,Secondary,Girls,2004
Andhra Pradesh,12.9,2004-2005,Secondary,Girls,2004
Arunachal Pradesh,23.6,2004-2005,Secondary,Girls,2004
Assam,10.9,2004-2005,Secondary,Girls,2004
Bihar,20.4,2004-2005,Secondary,Girls,2004
Chandigarh,19.7,2004-2005,Secondary,Girls,2004
Chhattisgarh,19.6,2004-2005,Secondary,Girls,2004
Dadra and Nagar Haveli,16.0,2004-2005,Secondary,Girls,2004
Daman and Diu,10.7,2004-2005,Secondary,Girls,2004
Delhi,23.4,2004-2005,Secondary,Girls,2004
Goa,21.0,2004-2005,Secondary,Girls,2004
Gujarat,20.1,2004-2005,Secondary,Girls,2004
Haryana,18.0,2004-2005,Secondary,Girls,2004
Himachal Pradesh,20.4,2004-2005,Secondary,Girls,2004
Jammu and Kashmir,16.4,2004-2005,Secondary,Girls,2004
Jharkhand,15.3,2004-2005,Secondary,Girls,2004
Karnataka,22.7,2004-2005,Secondary,Girls,2004
Kerala,19.5,2004-2005,Secondary,Girls,2004
Ladakh,14.9,2004-2005,Secondary,Girls,2004
Lakshadweep,15.6,2004-2005,Secondary,Girls,2004
Madhya Pradesh,11.1,2004-2005,Secondary,Girls,2004
Maharashtra,18.5,2004-2005,Secondary,Girls,2004
Manipur,24.1,2004-2005,Secondary,Girls,2004
Meghalaya,16.3,2004-2005,Secondary,Girls,2004
Mizoram,11.5,2004-2005,Secondary,Girls,2004
Nagaland,17.8,2004-2005,Secondary,Girls,2004
Odisha,10.9,2004-2005,Secondary,Girls,2004
Puducherry,19.7,2004-2005,Secondary,Girls,2004
Punjab,10.2,2004-2005,Secondary,Girls,2004
Rajasthan,17.8,2004-2005,Secondary,Girls,2004
Sikkim,16.0,2004-2005,Secondary,Girls,2004
Tamil Nadu,22.0,2004-2005,Secondary,Girls,2004
Telangana,18.4,2004-2005,Secondary,Girls,2004
Tripura,12.4,2004-2005,Secondary,Girls,2004
Uttar Pradesh,17.0,2004-2005,Secondary,Girls,2004
Uttarakhand,14.3,2004-2005,Secondary,Girls,2004
West Bengal,24.5,2004-2005,Secondary,Girls,2004
All India,24.0,2004-2005,Secondary,Girls,2004
Andaman and Nicobar Islands,3.5,2005-2006,Elementary,Boys,2005
Andhra Pradesh,1.3,2005-2006,Elementary,Boys,2005
Arunachal Pradesh,0.5,2005-2006,Elementary,Boys,2005
Assam,1.6,2005-2006,Elementary,Boys,2005
Bihar,0.6,2005-2006,Elementary,Boys,2005
Chandigarh,6.1,2005-2006,Elementary,Boys,2005
Chhattisgarh,6.6,2005-2006,Elementary,Boys,2005
Dadra and Nagar Haveli,0.4,2005-2006,Elementary,Boys,2005
Daman and Diu,5.1,2005-2006,Elementary,Boys,2005
Delhi,2.9,2005-2006,Elementary,Boys,2005
Goa,3.5,2005-2006,Elementary,Boys,2005
Gujarat,0.8,2005-2006,Elementary,Boys,2005
Haryana,2.3,2005-2006,Elementary,Boys,2005
Himachal Pradesh,3.7,2005-2006,Elementary,Boys,2005
Jammu and Kashmir,6.6,2005-2006,Elementary,Boys,2005
Jharkhand,6.3,2005-2006,Elementary,Boys,2005
Karnataka,6.7,2005-2006,Elementary,Boys,2005
Kerala,3.9,2005-2006,Elementary,Boys,2005
Ladakh,2.6,2005-2006,Elementary,Boys,2005
Lakshadweep,2.4,2005-2006,Elementary,Boys,2005
Madhya Pradesh,2.2,2005-2006,Elementary,Boys,2005
Maharashtra,3.5,2005-2006,Elementary,Boys,2005
Manipur,4.6,2005-2006,Elementary,Boys,2005
Meghalaya,6.9,2005-2006,Elementary,Boys,2005
Mizoram,1.6,2005-2006,Elementary,Boys,2005
Nagaland,1.0,2005-2006,Elementary,Boys,2005
Odisha,6.7,2005-2006,Elementary,Boys,2005
Puducherry,2.0,2005-2006,Elementary,Boys,2005
Punjab,6.6,2005-2006,Elementary,Boys,2005
Rajasthan,8.3,2005-2006,Elementary,Boys,2005
Sikkim,4.6,2005-2006,Elementary,Boys,2005
Tamil Nadu,1.1,2005-2006,Elementary,Boys,2005
Telangana,6.9,2005-2006,Elementary,Boys,2005
Tripura,4.3,2005-2006,Elementary,Boys,2005
Uttar Pradesh,6.2,2005-2006,Elementary,Boys,2005
Uttarakhand,1.8,2005-2006,Elementary,Boys,2005
West Bengal,4.4,2005-2006,Elementary,Boys,2005
All India,3.7,2005-2006,Elementary,Boys,2005
Andaman and Nicobar Islands,4.2,2005-2006,Elementary,Girls,2005
Andhra Pradesh,5.2,2005-2006,Elementary,Girls,2005
Arunachal Pradesh,1.5,2005-2006,Elementary,Girls,2005
Assam,3.0,2005-2006,Elementary,Girls,2005
Bihar,0.3,2005-2006,Elementary,Girls,2005
Chandigarh,4.2,2005-2006,Elementary,Girls,2005
Chhattisgarh,5.6,2005-2006,Elementary,Girls,2005
Dadra and Nagar Haveli,1.2,2005-2006,Elementary,Girls,2005
Daman and Diu,5.7,2005-2006,Elementary,Girls,2005
Delhi,3.7,2005-2006,Elementary,Girls,2005
Goa,6.0,2005-2006,Elementary,Girls,2005
Gujarat,1.7,2005-2006,Elementary,Girls,2005
Haryana,3.0,2005-2006,Elementary,Girls,2005
Himachal Pradesh,4.6,2005-2006,Elementary,Girls,2005
Jammu and Kashmir,6.5,2005-2006,Elementary,Girls,2005
Jharkhand,6.4,2005-2006,Elementary,Girls,2005
Karnataka,7.0,2005-2006,Elementary,Girls,2005
Kerala,5.4,2005-2006,Elementary,Girls,2005
Ladakh,5.5,2005-2006,Elementary,Girls,2005
Lakshadweep,6.6,2005-2006,Elementary,Girls,2005
Madhya Pradesh,2.1,2005-2006,Elementary,Girls,2005
Maharashtra,1.8,2005-2006,Elementary,Girls,2005
Manipur,0.3,2005-2006,Elementary,Girls,2005
Meghalaya,5.6,2005-2006,Elementary,Girls,2005
Mizoram,3.1,2005-2006,Elementary,Girls,2005
Nagaland,3.9,2005-2006,Elementary,Girls,2005
Odisha,4.5,2005-2006,Elementary,Girls,2005
Puducherry,4.8,2005-2006,Elementary,Girls,2005
Punjab,7.3,2005-2006,Elementary,Girls,2005
Rajasthan,6.2,2005-2006,Elementary,Girls,2005
Sikkim,2.3,2005-2006,Elementary,Girls,2005
Tamil Nadu,1.0,2005-2006,Elementary,Girls,2005
Telangana,0.2,2005-2006,Elementary,Girls,2005
Tripura,7.3,2005-2006,Elementary,Girls,2005
Uttar Pradesh,3.1,2005-2006,Elementary,Girls,2005
Uttarakhand,1.2,2005-2006,Elementary,Girls,2005
West Bengal,0.9,2005-2006,Elementary,Girls,2005
All India,3.1,2005-2006,Elementary,Girls,2005
Andaman and Nicobar Islands,11.7,2005-2006,Secondary,Boys,2005
Andhra Pradesh,22.5,2005-2006,Secondary,Boys,2005
Arunachal Pradesh,15.3,2005-2006,Secondary,Boys,2005
Assam,14.0,2005-2006,Secondary,Boys,2005
Bihar,22.9,2005-2006,Secondary,Boys,2005
Chandigarh,16.1,2005-2006,Secondary,Boys,2005
Chhattisgarh,24.2,2005-2006,Secondary,Boys,2005
Dadra and Nagar Haveli,17.4,2005-2006,Secondary,Boys,2005
Daman and Diu,9.9,2005-2006,Secondary,Boys,2005
Delhi,20.8,2005-2006,Secondary,Boys,2005
Goa,21.9,2005-2006,Secondary,Boys,2005
Gujarat,22.2,2005-2006,Secondary,Boys,2005
Haryana,15.9,2005-2006,Secondary,Boys,2005
Himachal Pradesh,11.8,2005-2006,Secondary,Boys,2005
Jammu and Kashmir,9.4,2005-2006,Secondary,Boys,2005
Jharkhand,26.2,2005-2006,Secondary,Boys,2005
Karnataka,17.0,2005-2006,Secondary,Boys,2005
Kerala,21.3,2005-2006,Secondary,Boys,2005
Ladakh,14.7,2005-2006,Secondary,Boys,2005
Lakshadweep,20.8,2005-2006,Secondary,Boys,2005
Madhya Pradesh,14.2,2005-2006,Secondary,Boys,2005
Maharashtra,14.2,2005-2006,Secondary,Boys,2005
Manipur,21.0,2005-2006,Secondary,Boys,2005
Meghalaya,21.8,2005-2006,Secondary,Boys,2005
Mizoram,18.2,2005-2006,Secondary,Boys,2005
Nagaland,11.9,2005-2006,Secondary,Boys,2005
Odisha,15.3,2005-2006,Secondary,Boys,2005
Puducherry,21.1,2005-2006,Secondary,Boys,2005
Punjab,14.4,2005-2006,Secondary,Boys,2005
Rajasthan,17.0,2005-2006,Secondary,Boys,2005
Sikkim,15.4,2005-2006,Secondary,Boys,2005
Tamil Nadu,13.2,2005-2006,Secondary,Boys,2005
Telangana,23.0,2005-2006,Secondary,Boys,2005
Tripura,21.0,2005-2006,Secondary,Boys,2005
Uttar Pradesh,15.6,2005-2006,Secondary,Boys,2005
Uttarakhand,21.5,2005-2006,Secondary,Boys,2005
West Bengal,10.4,2005-2006,Secondary,Boys,2005
All India,19.2,2005-2006,Secondary,Boys,2005
Andaman and Nicobar Islands,15.7,2005-2006,Secondary,Girls,2005
Andhra Pradesh,13.9,2005-2006,Secondary,Girls,2005
Arunachal Pradesh,21.9,2005-2006,Secondary,Girls,2005
Assam,12.5,2005-2006,Secondary,Girls,2005
Bihar,10.2,2005-2006,Secondary,Girls,2005
Chandigarh,15.4,2005-2006,Secondary,Girls,2005
Chhattisgarh,21.8,2005-2006,Secondary,Girls,2005
Dadra and Nagar Haveli,21.9,2005-2006,Secondary,Girls,2005
Daman and Diu,15.8,2005-2006,Secondary,Girls,2005
Delhi,21.9,2005-2006,Secondary,Girls,2005
Goa,20.6,2005-2006,Secondary,Girls,2005
Gujarat,19.0,2005-2006,Secondary,Girls,2005
Haryana,21.5,2005-2006,Secondary,Girls,2005
Himachal Pradesh,20.3,2005-2006,Secondary,Girls,2005
Jammu and Kashmir,12.8,2005-2006,Secondary,Girls,2005
Jharkhand,19.5,2005-2006,Secondary,Girls,2005
Karnataka,15.7,2005-2006,Secondary,Girls,2005
Kerala,13.5,2005-2006,Secondary,Girls,2005
Ladakh,15.8,2005-2006,Secondary,Girls,2005
Lakshadweep,21.5,2005-2006,Secondary,Girls,2005
Madhya Pradesh,13.3,2005-2006,Secondary,Girls,2005
Maharashtra,13.7,2005-2006,Secondary,Girls,2005
Manipur,21.4,2005-2006,Secondary,Girls,2005
Meghalaya,20.7,2005-2006,Secondary,Girls,2005
Mizoram,11.3,2005-2006,Secondary,Girls,2005
Nagaland,19.4,2005-2006,Secondary,Girls,2005
Odisha,16.4,2005-2006,Secondary,Girls,2005
Puducherry,16.2,2005-2006,Secondary,Girls,2005
Punjab,16.9,2005-2006,Secondary,Girls,2005
Rajasthan,16.4,2005-2006,Secondary,Girls,2005
Sikkim,12.6,2005-2006,Secondary,Girls,2005
Tamil Nadu,17.9,2005-2006,Secondary,Girls,2005
Telangana,12.9,2005-2006,Secondary,Girls,2005
Tripura,16.4,2005-2006,Secondary,Girls,2005
Uttar Pradesh,20.9,2005-2006,Secondary,Girls,2005
Uttarakhand,21.3,2005-2006,Secondary,Girls,2005
West Bengal,20.0,2005-2006,Secondary,Girls,2005
All India,9.4,2005-2006,Secondary,Girls,2005
Andaman and Nicobar Islands,1.0,2006-2007,Elementary,Boys,2006
Andhra Pradesh,2.7,2006-2007,Elementary,Boys,2006
Arunachal Pradesh,0.3,2006-2007,Elementary,Boys,2006
Assam,4.2,2006-2007,Elementary,Boys,2006
Bihar,0.2,2006-2007,Elementary,Boys,2006
Chandigarh,1.9,2006-2007,Elementary,Boys,2006
Chhattisgarh,4.8,2006-2007,Elementary,Boys,2006
Dadra and Nagar Haveli,1.9,2006-2007,Elementary,Boys,2006
Daman and Diu,2.2,2006-2007,Elementary,Boys,2006
Delhi,6.9,2006-2007,Elementary,Boys,2006
Goa,0.6,2006-2007,Elementary,Boys,2006
Gujarat,1.2,2006-2007,Elementary,Boys,2006
Haryana,5.1,2006-2007,Elementary,Boys,2006
Himachal Pradesh,5.0,2006-2007,Elementary,Boys,2006
Jammu and Kashmir,6.8,2006-2007,Elementary,Boys,2006
Jharkhand,4.3,2006-2007,Elementary,Boys,2006
Karnataka,6.4,2006-2007,Elementary,Boys,2006
Kerala,3.6,2006-2007,Elementary,Boys,2006
Ladakh,6.0,2006-2007,Elementary,Boys,2006
Lakshadweep,1.1,2006-2007,Elementary,Boys,2006
Madhya Pradesh,4.7,2006-2007,Elementary,Boys,2006
Maharashtra,1.3,2006-2007,Elementary,Boys,2006
